"Brand","MPG","Price","displayed","rated"
"Ford","110 MPGe","$120,000",1,1
"Tesla","110 MPGe","$120,000",152,13
"Ford","20 MPG","$120,000",89,8
"Toyota","20 MPG","$120,000",65,7
"Ford","35 MPG","$120,000",81,5
"Toyota","35 MPG","$120,000",89,7
"Tesla","110 MPGe","$30,000",174,15
"Ford","20 MPG","$30,000",92,7
"Toyota","20 MPG","$30,000",82,7
"Ford","35 MPG","$30,000",66,7
"Toyota","35 MPG","$30,000",79,6
"Tesla","110 MPGe","$60,000",164,13
"Toyota","110 MPGe","$60,000",19,1
"Ford","20 MPG","$60,000",58,4
"Toyota","20 MPG","$60,000",93,7
"Ford","35 MPG","$60,000",106,8
"Toyota","35 MPG","$60,000",60,7
