"county","quarter_label_2025_q4","zev_sales_2025_q4","total_ldv_sales_2025_q4","zev_share_2025_q4","quarter_label_2026_q2","zev_sales_2026_q2","total_ldv_sales_2026_q2","zev_share_2026_q2","change_percentage_points","relative_change","average_quarterly_ldv_sales","small_market_flag"
"Alpine","2025 Q4",1,13,0.0769230769230769,"2026 Q2",1,6,0.166666666666667,8.97435897435897,1.16666666666667,9.5,TRUE
"Glenn","2025 Q4",7,146,0.047945205479452,"2026 Q2",18,137,0.131386861313869,8.34416558344166,1.74035453597497,141.5,TRUE
"Siskiyou","2025 Q4",11,227,0.0484581497797357,"2026 Q2",25,194,0.128865979381443,8.04078296017076,1.6593252108716,210.5,TRUE
"Mendocino","2025 Q4",42,392,0.107142857142857,"2026 Q2",76,409,0.185819070904645,7.86762137617883,0.734311328443358,400.5,TRUE
"Nevada","2025 Q4",102,600,0.17,"2026 Q2",147,616,0.238636363636364,6.86363636363636,0.403743315508021,608,TRUE
"Lassen","2025 Q4",3,115,0.0260869565217391,"2026 Q2",9,102,0.0882352941176471,6.21483375959079,2.38235294117647,108.5,TRUE
"Mono","2025 Q4",14,134,0.104477611940299,"2026 Q2",13,79,0.164556962025316,6.00793500850179,0.5750452079566,106.5,TRUE
"Humboldt","2025 Q4",55,561,0.0980392156862745,"2026 Q2",83,528,0.15719696969697,5.91577540106952,0.603409090909091,544.5,TRUE
"Mariposa","2025 Q4",7,95,0.0736842105263158,"2026 Q2",9,68,0.132352941176471,5.86687306501548,0.796218487394958,81.5,TRUE
"Trinity","2025 Q4",2,41,0.048780487804878,"2026 Q2",5,47,0.106382978723404,5.76024909185262,1.18085106382979,44,TRUE
"Sonoma","2025 Q4",689,3603,0.191229530946434,"2026 Q2",902,3707,0.243323442136499,5.2093911190065,0.272415619764592,3655,FALSE
"El Dorado","2025 Q4",263,1563,0.168266154830454,"2026 Q2",351,1602,0.219101123595506,5.08349687650514,0.302110479771009,1582.5,FALSE
"Inyo","2025 Q4",6,148,0.0405405405405405,"2026 Q2",12,133,0.0902255639097744,4.96850233692339,1.22556390977444,140.5,TRUE
"San Benito","2025 Q4",82,558,0.146953405017921,"2026 Q2",113,575,0.196521739130435,4.95683341125136,0.337306468716861,566.5,TRUE
"Santa Cruz","2025 Q4",312,1641,0.190127970749543,"2026 Q2",372,1571,0.236791852323361,4.6663881573818,0.245434069431523,1606,FALSE
"San Luis Obispo","2025 Q4",338,2067,0.163522012578616,"2026 Q2",436,2125,0.205176470588235,4.1654458009619,0.254733031674208,2096,FALSE
"Plumas","2025 Q4",5,96,0.0520833333333333,"2026 Q2",9,98,0.0918367346938776,3.97534013605442,0.763265306122449,97,TRUE
"Lake","2025 Q4",33,273,0.120879120879121,"2026 Q2",39,245,0.159183673469388,3.83045525902669,0.316883116883117,259,TRUE
"Butte","2025 Q4",92,1010,0.0910891089108911,"2026 Q2",146,1131,0.129089301503095,3.80001925922035,0.41717602737093,1070.5,FALSE
"Placer","2025 Q4",927,4385,0.211402508551881,"2026 Q2",1144,4617,0.247779943686376,3.6377435134495,0.1720766483978,4501,FALSE
"Solano","2025 Q4",555,3529,0.15726834797393,"2026 Q2",695,3596,0.193270300333704,3.60019523597738,0.228920522302057,3562.5,FALSE
"Kern","2025 Q4",554,6842,0.0809704764688687,"2026 Q2",843,7582,0.111184384067528,3.02139075986596,0.373147212617381,7212,FALSE
"Madera","2025 Q4",102,993,0.102719033232628,"2026 Q2",143,1091,0.131072410632447,2.83533773998189,0.276028468215884,1042,FALSE
"Monterey","2025 Q4",357,2804,0.127318116975749,"2026 Q2",442,2867,0.154168119986048,2.68500030102992,0.210889099274171,2835.5,FALSE
"San Bernardino","2025 Q4",2779,20693,0.134296622046103,"2026 Q2",3652,22784,0.160287921348315,2.59912993022121,0.193536508262207,21738.5,FALSE
"Stanislaus","2025 Q4",372,3484,0.106773823191734,"2026 Q2",496,3746,0.132407901761879,2.56340785701457,0.240078305748354,3615,FALSE
"Marin","2025 Q4",887,2802,0.31655960028551,"2026 Q2",986,2889,0.341294565593631,2.47349653081207,0.0781368351672538,2845.5,FALSE
"Riverside","2025 Q4",3679,25980,0.141608929946112,"2026 Q2",4635,27968,0.165725114416476,2.41161844703636,0.170301297238392,26974,FALSE
"Sacramento","2025 Q4",2344,11069,0.211762580178878,"2026 Q2",2783,11806,0.235727596137557,2.39650159586792,0.113169266914087,11437.5,FALSE
"Ventura","2025 Q4",1621,8730,0.185681557846506,"2026 Q2",1950,9342,0.208734746307001,2.30531884604943,0.124154432609572,9036,FALSE
"Tehama","2025 Q4",18,275,0.0654545454545455,"2026 Q2",28,317,0.0883280757097792,2.28735302552337,0.349456712232737,296,TRUE
"Contra Costa","2025 Q4",2693,10312,0.261152055857254,"2026 Q2",3075,10839,0.283697758095765,2.25457022385116,0.0863317049697481,10575.5,FALSE
"Fresno","2025 Q4",710,6984,0.101660939289805,"2026 Q2",917,7406,0.123818525519849,2.21575862300435,0.217955749620597,7195,FALSE
"Kings","2025 Q4",67,919,0.072905331882481,"2026 Q2",96,1023,0.093841642228739,2.0936310346258,0.287171182212107,971,TRUE
"Orange","2025 Q4",9285,40800,0.227573529411765,"2026 Q2",10469,42264,0.247704902517509,2.01313731057443,0.0884609609816225,41532,FALSE
"San Diego","2025 Q4",6365,33753,0.188575830296566,"2026 Q2",7545,36387,0.207354274878391,1.87784445818244,0.0995803362090053,35070,FALSE
"Merced","2025 Q4",141,1452,0.0971074380165289,"2026 Q2",179,1572,0.113867684478372,1.67602464618426,0.172594878458124,1512,FALSE
"Los Angeles","2025 Q4",21121,118911,0.177620236983963,"2026 Q2",22953,119039,0.192819160107192,1.5198923123229,0.0855697716730401,118975,FALSE
"Shasta","2025 Q4",111,1078,0.102968460111317,"2026 Q2",132,1130,0.116814159292035,1.38456991807181,0.134465438890218,1104,FALSE
"San Joaquin","2025 Q4",980,6048,0.162037037037037,"2026 Q2",1137,6472,0.175679851668727,1.36428146316898,0.0841956560127142,6260,FALSE
"Amador","2025 Q4",25,211,0.118483412322275,"2026 Q2",36,274,0.131386861313869,1.29034489915937,0.108905109489051,242.5,TRUE
"Tulare","2025 Q4",244,2717,0.0898049319101951,"2026 Q2",308,3064,0.100522193211488,1.07172613012932,0.119339339982023,2890.5,FALSE
"Yuba","2025 Q4",50,435,0.114942528735632,"2026 Q2",61,491,0.124236252545825,0.929372381019265,0.0808553971486761,463,TRUE
"Imperial","2025 Q4",82,1985,0.0413098236775819,"2026 Q2",118,2346,0.0502983802216539,0.898855654407202,0.217588838292475,2165.5,FALSE
"Napa","2025 Q4",242,1088,0.222426470588235,"2026 Q2",257,1119,0.229669347631814,0.724287704357884,0.032563017452123,1103.5,FALSE
"San Francisco","2025 Q4",1796,5529,0.32483270030747,"2026 Q2",1887,5686,0.33186774533943,0.703504503196051,0.0216574409697716,5607.5,FALSE
"Santa Barbara","2025 Q4",582,3414,0.170474516695958,"2026 Q2",601,3397,0.176920812481601,0.64462957856436,0.0378138381652702,3405.5,FALSE
"Sutter","2025 Q4",61,621,0.0982286634460548,"2026 Q2",73,708,0.103107344632768,0.48786811867136,0.0496665740483466,664.5,TRUE
"Alameda","2025 Q4",4917,14635,0.335975401434916,"2026 Q2",4721,13942,0.338617128102137,0.264172666722112,0.00786285738759029,14288.5,FALSE
"Modoc","2025 Q4",0,35,0,"2026 Q2",0,23,0,0,NA,29,TRUE
"Yolo","2025 Q4",336,1641,0.204753199268739,"2026 Q2",328,1635,0.200611620795107,-0.414157847363153,-0.0202271734381826,1638,FALSE
"Tuolumne","2025 Q4",38,312,0.121794871794872,"2026 Q2",37,319,0.115987460815047,-0.580741097982479,-0.0476819006764562,315.5,TRUE
"Calaveras","2025 Q4",35,324,0.108024691358025,"2026 Q2",31,330,0.0939393939393939,-1.40852974186308,-0.13038961038961,327,TRUE
"Del Norte","2025 Q4",8,99,0.0808080808080808,"2026 Q2",6,92,0.0652173913043478,-1.5590689503733,-0.192934782608696,95.5,TRUE
"San Mateo","2025 Q4",2633,14446,0.18226498684757,"2026 Q2",2903,18115,0.160253933204527,-2.20110536430436,-0.120764026178279,16280.5,FALSE
"Santa Clara","2025 Q4",9293,22513,0.412783724958913,"2026 Q2",7834,20452,0.38304322315666,-2.97405018022531,-0.0720486298368799,21482.5,FALSE
"Colusa","2025 Q4",12,146,0.0821917808219178,"2026 Q2",4,145,0.0275862068965517,-5.46055739253661,-0.664367816091954,145.5,TRUE
"Sierra","2025 Q4",5,20,0.25,"2026 Q2",2,15,0.133333333333333,-11.6666666666667,-0.466666666666667,17.5,TRUE
