county,prewar_new_ldv_titles,postwar_new_ldv_titles,prewar_zev_titles,postwar_zev_titles,prewar_zev_share,postwar_zev_share,change_percentage_points
King,26677,37507,5490,6526,0.20579525433894366,0.1739941877516197,-3.1801066587323956
Pierce,7993,8556,867,1330,0.10846991117227574,0.15544647031323047,4.697655914095473
Snohomish,7840,8413,1335,1812,0.17028061224489796,0.21538095804112684,4.510034579622888
Spokane,4003,6250,241,410,0.06020484636522608,0.0656,0.5395153634773928
Clark,4613,4914,580,957,0.12573162800780402,0.19474969474969475,6.901806674189073
Thurston,2662,2959,278,401,0.10443275732531931,0.1355187563366002,3.1085999011280894
Whatcom,1996,2951,179,294,0.08967935871743488,0.09962724500169434,0.9947886284259466
Kitsap,2513,2773,298,443,0.11858336649423,0.15975477821853587,4.117141172430587
Lewis,1065,2546,45,63,0.04225352112676056,0.02474469756480754,-1.7508823561953022
Benton,1768,1929,124,172,0.07013574660633484,0.08916537065837221,1.9029624052037368
Yakima,1394,1476,57,95,0.040889526542324243,0.06436314363143632,2.3473617089112073
Skagit,962,1040,70,119,0.07276507276507277,0.11442307692307692,4.165800415800415
Cowlitz,809,942,61,97,0.0754017305315204,0.1029723991507431,2.757066861922271
Island,789,806,87,111,0.11026615969581749,0.13771712158808933,2.7450961892271835
Franklin,701,770,33,62,0.047075606276747506,0.08051948051948052,3.344387424273301
Grant,655,699,27,43,0.04122137404580153,0.06151645207439199,2.0295078028590465
Chelan,614,635,67,91,0.10912052117263844,0.14330708661417324,3.4186565441534795
Mason,487,603,33,78,0.06776180698151951,0.12935323383084577,6.159142684932625
Grays Harbor,509,579,27,52,0.05304518664047151,0.08981001727115717,3.676483063068566
Clallam,542,567,40,87,0.07380073800738007,0.15343915343915343,7.9638415431773355
Walla Walla,416,404,30,41,0.07211538461538461,0.10148514851485149,2.9369763899466883
Kittitas,372,373,28,57,0.07526881720430108,0.15281501340482573,7.754619620052465
Douglas,328,338,20,40,0.06097560975609756,0.11834319526627218,5.736758551017463
Stevens,263,320,16,25,0.060836501901140684,0.078125,1.7288498098859315
Whitman,254,299,16,31,0.06299212598425197,0.10367892976588629,4.068680378163432
Jefferson,281,257,45,62,0.1601423487544484,0.24124513618677043,8.110278743232202
Pacific,202,206,13,22,0.06435643564356436,0.10679611650485436,4.243968086129001
Okanogan,213,196,9,34,0.04225352112676056,0.17346938775510204,13.121586662834147
Klickitat,175,190,14,26,0.08,0.1368421052631579,5.68421052631579
Asotin,169,168,4,7,0.023668639053254437,0.041666666666666664,1.7998027613412226
San Juan,162,121,35,36,0.21604938271604937,0.2975206611570248,8.147127844097543
Skamania,79,112,4,20,0.05063291139240506,0.17857142857142858,12.793851717902353
Adams,124,99,2,5,0.016129032258064516,0.050505050505050504,3.4376018246985987
Pend Oreille,86,89,7,5,0.08139534883720931,0.056179775280898875,-2.5215573556310433
Lincoln,84,87,2,4,0.023809523809523808,0.04597701149425287,2.2167487684729066
Wahkiakum,36,52,5,1,0.1388888888888889,0.019230769230769232,-11.965811965811966
Ferry,34,30,5,2,0.14705882352941177,0.06666666666666667,-8.03921568627451
Columbia,34,27,1,0,0.029411764705882353,0,-2.941176470588235
Garfield,13,23,0,0,0,0,0
