term,estimate,newey_west_standard_error,t_value,p_value,confidence_low,confidence_high
(Intercept),0.03860349492756557,0.04814792842759308,0.8017685534616336,0.4247755736911495,-0.057036450133588046,0.13424343998871918
time_centered,0.002185103647329043,3.6733081697171556e-4,5.948598773560825,4.9599650756195964e-8,0.0014554461043825007,0.0029147611902755853
I(time_centered^2),1.1449231224926548e-5,6.50936734986719e-6,1.758885404610042,0.0819584771492052,-1.4808273685680995e-6,2.4379289818421196e-5
calendar_month02,-0.021067058827180532,0.006199488977540687,-3.398192803229687,0.0010080749008124586,-0.033381582101237386,-0.008752535553123676
calendar_month03,-0.03475186094064717,0.007905262220126696,-4.396041519302089,2.9814069287106373e-5,-0.05045469321439544,-0.019049028666898896
calendar_month04,-0.013611283251770707,0.008361795419130168,-1.6277943395542454,0.10702611886614061,-0.030220962642253123,0.002998396138711709
calendar_month05,-0.03959608402734479,0.010365797276814161,-3.819878294929795,2.4368901654005945e-4,-0.06018646692534316,-0.01900570112934642
calendar_month06,-0.04201583294541821,0.009678188438975978,-4.34129105982398,3.66719936291135e-5,-0.061240365356758475,-0.022791300534077946
calendar_month07,-0.011124234991835796,0.0090296153124642,-1.231972194483219,0.22113336076435816,-0.02906045656170321,0.00681198657803162
calendar_month08,-0.012221092356103571,0.01134818569271199,-1.0769203718575189,0.28436252724807165,-0.034762869160206884,0.010320684447999743
calendar_month09,-0.016620460110616363,0.011302499055049672,-1.4705119663947912,0.14487248913555933,-0.03907148602140505,0.00583056580017232
calendar_month10,0.0049851552774365475,0.006876981375763823,0.7249045773201398,0.47037045413866374,-0.008675123418743026,0.01864543397361612
calendar_month11,-0.0031196930878298625,0.008765808650043219,-0.35589335934391875,0.7227441492574636,-0.020531895130280815,0.014292508954621091
calendar_month12,-0.017248257611530315,0.007398844706068989,-2.3312095734868215,0.021951001521652063,-0.03194515370475689,-0.002551361518303744
covid_disruption,0.009551162150854987,0.0103324777975382,0.924382547730287,0.3577319204802155,-0.010973035694712491,0.030075359996422465
wa_sales_tax_exemption_active,-0.02562365543998277,0.007513565800325475,-3.4103188979688976,9.691912992401135e-4,-0.04054843089397033,-0.01069887998599521
wa_instant_rebate_active,2.626450351540288e-4,0.02064692089418708,0.012720784687462705,0.9898784032869645,-0.04074992693814761,0.04127521700845567
combined_incentive_transition,-0.037278641562708874,0.02156070366065771,-1.7290085773374841,0.08719870489544315,-0.0801063307474292,0.0055490476220114646
post_combined_incentive_rolloff,-0.14236623731939946,0.026042488007656902,-5.466691096393768,3.9805507992337306e-7,-0.19409644054202996,-0.09063603409676896
gas_price_prior_3m,0.027701403607037847,0.012604360860978547,2.1977634496960308,0.03050400141522044,0.002664389146741882,0.052738418067333814
