month,bev_titles,other_powertrain_titles,phev_titles,fcev_titles,total_new_ldv_titles,zev_titles,zev_share,source_url,washington_regular_gas_price,washington_unemployment_rate,washington_unemployment_rate_model,unemployment_interpolated,washington_residential_electricity_cents_kwh,wa_sales_tax_exemption_active,wa_instant_rebate_active,federal_point_of_sale_credit_period,combined_incentive_transition,post_combined_incentive_rolloff,time_index,time_centered,calendar_month,covid_disruption,post_war,gas_price_current,gas_price_lag_1m,gas_price_lag_2m,gas_price_prior_3m,electricity_price_prior_3m,event_period,expected_zev_share,empirical_prediction_low,empirical_prediction_high,observed_minus_expected,benchmark_training_period
2017-01-01,395,26484,231,0,27110,626,0.02309111029140538,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.6794,5.5,5.5,FALSE,9.28,0,0,0,0,0,1,-56.5,01,0,0,2.6794,NA,NA,NA,NA,Pre-event,0.028242699343071435,0,0.0999541819603803,-0.005151589051666055,TRUE
2017-02-01,369,20070,180,0,20619,549,0.02662592754255783,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.69775,5.3,5.3,FALSE,9.33,0,0,0,0,0,2,-55.5,02,0,0,2.69775,2.6794,NA,NA,NA,Pre-event,0.008053770642047434,0,0.0797652532593563,0.018572156900510395,TRUE
2017-03-01,349,26948,200,0,27497,549,0.01996581445248572,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.7975,4.9,4.9,FALSE,9.35,0,0,0,0,0,3,-54.5,03,0,0,2.7975,2.69775,2.6794,NA,NA,Pre-event,-0.0033045347774041146,0,0.06840694783990475,0.023270349229889836,TRUE
2017-04-01,432,23719,172,0,24323,604,0.02483246310076882,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.8754999999999997,4.3,4.3,FALSE,9.75,0,0,0,0,0,4,-53.5,04,0,0,2.8754999999999997,2.7975,2.69775,2.724883333333333,9.32,Pre-event,0.017840231734894615,0,0.08955171435220348,0.006992231365874204,TRUE
2017-05-01,393,27032,185,0,27610,578,0.02093444404201376,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.8714,4.3,4.3,FALSE,9.79,0,0,0,0,0,5,-52.5,05,0,0,2.8714,2.8754999999999997,2.7975,2.7902500000000003,9.476666666666667,Pre-event,-0.004227222676232351,0,0.06748425994107651,0.02516166671824611,TRUE
2017-06-01,431,27920,238,0,28589,669,0.02340060862569519,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.81575,4.4,4.4,FALSE,9.95,0,0,0,0,0,6,-51.5,06,0,0,2.81575,2.8714,2.8754999999999997,2.848133333333333,9.63,Pre-event,5.807303671610323e-4,0,0.07229221298446989,0.022819878258534158,TRUE
2017-07-01,385,22197,163,0,22745,548,0.02409320729830732,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.7762,4.5,4.5,FALSE,9.9,0,0,0,0,0,7,-50.5,07,0,0,2.7762,2.81575,2.8714,2.8542166666666664,9.83,Pre-event,0.031070191151248223,0,0.10278167376855708,-0.006976983852940901,TRUE
2017-08-01,338,25370,193,0,25901,531,0.02050113895216401,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.8575,4.8,4.8,FALSE,9.87,0,0,0,0,0,8,-49.5,08,0,0,2.8575,2.7762,2.81575,2.8211166666666667,9.88,Pre-event,0.02913780271993022,0,0.10084928533723908,-0.008636663767766211,TRUE
2017-09-01,451,23872,176,0,24499,627,0.02559288134209559,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,3.02925,4.4,4.4,FALSE,10.15,0,0,0,0,0,9,-48.5,09,0,0,3.02925,2.8575,2.7762,2.816483333333333,9.906666666666666,Pre-event,0.025654816929920866,0,0.09736629954722972,-6.193558782527711e-5,TRUE
2017-10-01,451,23424,204,0,24079,655,0.02720212633415009,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf,2.9156,4.3,4.3,FALSE,9.76,0,0,0,0,0,10,-47.5,10,0,0,2.9156,3.02925,2.8575,2.8876500000000003,9.973333333333334,Pre-event,0.04706539680047928,0,0.11877687941778814,-0.019863270466329193,TRUE
