observation_month,year,quarter,quarter_label,vmt_million_miles,vmt_billion_miles,yoy_change,estimate_status,release_month,geography,road_coverage,units,source_file,source_url
2023-01-01,2023,1,2023 Q1,23363,23.363,-0.018,revised_next_month,2023-02-01,California,All estimated roads and streets,million vehicle-miles,23febtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23febtvt/23febtvt.xlsx
2023-02-01,2023,1,2023 Q1,22426,22.426,-0.046,revised_next_month,2023-03-01,California,All estimated roads and streets,million vehicle-miles,23martvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23martvt/23martvt.xlsx
2023-03-01,2023,1,2023 Q1,25365,25.365,-0.053,revised_next_month,2023-04-01,California,All estimated roads and streets,million vehicle-miles,23aprtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23aprtvt/23aprtvt.xlsx
2023-04-01,2023,2,2023 Q2,25873,25.873,0.022,revised_next_month,2023-05-01,California,All estimated roads and streets,million vehicle-miles,23maytvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23maytvt/23maytvt.xlsx
2023-05-01,2023,2,2023 Q2,27440,27.44,0.009,revised_next_month,2023-06-01,California,All estimated roads and streets,million vehicle-miles,23juntvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23juntvt/23juntvt.xlsx
2023-06-01,2023,2,2023 Q2,28684,28.684,0.048,revised_next_month,2023-07-01,California,All estimated roads and streets,million vehicle-miles,23jultvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23jultvt/23jultvt.xlsx
2023-07-01,2023,3,2023 Q3,29805,29.805,0.063,revised_next_month,2023-08-01,California,All estimated roads and streets,million vehicle-miles,23augtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23augtvt/23augtvt.xlsx
2023-08-01,2023,3,2023 Q3,28680,28.68,0.038,revised_next_month,2023-09-01,California,All estimated roads and streets,million vehicle-miles,23septvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23septvt/23septvt.xlsx
2023-09-01,2023,3,2023 Q3,27338,27.338,0.016,revised_next_month,2023-10-01,California,All estimated roads and streets,million vehicle-miles,23octtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23octtvt/23octtvt.xlsx
2023-10-01,2023,4,2023 Q4,27148,27.148,0.016,revised_next_month,2023-11-01,California,All estimated roads and streets,million vehicle-miles,23novtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23novtvt/23novtvt.xlsx
2023-11-01,2023,4,2023 Q4,25295,25.295,0.017,revised_next_month,2023-12-01,California,All estimated roads and streets,million vehicle-miles,23dectvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23dectvt/23dectvt.xlsx
2023-12-01,2023,4,2023 Q4,25485,25.485,0.013,revised_next_month,2024-01-01,California,All estimated roads and streets,million vehicle-miles,24jantvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24jantvt/24jantvt.xlsx
2024-01-01,2024,1,2024 Q1,25290,25.29,0.076,revised_next_month,2024-02-01,California,All estimated roads and streets,million vehicle-miles,24febtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24febtvt/24febtvt.xlsx
2024-02-01,2024,1,2024 Q1,22664,22.664,0.004,revised_next_month,2024-03-01,California,All estimated roads and streets,million vehicle-miles,24martvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24martvt/24martvt.xlsx
2024-03-01,2024,1,2024 Q1,25967,25.967,0.017,revised_next_month,2024-04-01,California,All estimated roads and streets,million vehicle-miles,24aprtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24aprtvt/24aprtvt.xlsx
2024-04-01,2024,2,2024 Q2,26254,26.254,0.008,revised_next_month,2024-05-01,California,All estimated roads and streets,million vehicle-miles,24maytvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24maytvt/24maytvt.xlsx
2024-05-01,2024,2,2024 Q2,27903,27.903,0.009,revised_next_month,2024-06-01,California,All estimated roads and streets,million vehicle-miles,24juntvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24juntvt/24juntvt.xlsx
2024-06-01,2024,2,2024 Q2,28661,28.661,-0.007,revised_next_month,2024-07-01,California,All estimated roads and streets,million vehicle-miles,24jultvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24jultvt/24jultvt.xlsx
2024-07-01,2024,3,2024 Q3,30281,30.281,0.009,revised_next_month,2024-08-01,California,All estimated roads and streets,million vehicle-miles,24augtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24augtvt/24augtvt.xlsx
2024-08-01,2024,3,2024 Q3,29337,29.337,0.015,revised_next_month,2024-09-01,California,All estimated roads and streets,million vehicle-miles,24septvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24septvt/24septvt.xlsx
2024-09-01,2024,3,2024 Q3,27592,27.592,0.003,revised_next_month,2024-10-01,California,All estimated roads and streets,million vehicle-miles,24octtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24octtvt/24octtvt.xlsx
2024-10-01,2024,4,2024 Q4,27679,27.679,0.013,revised_next_month,2024-11-01,California,All estimated roads and streets,million vehicle-miles,24novtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24novtvt/24novtvt.xlsx
2024-11-01,2024,4,2024 Q4,23660,23.66,-0.022,revised_next_month,2024-12-01,California,All estimated roads and streets,million vehicle-miles,24dectvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24dectvt/24dectvt.xlsx
2024-12-01,2024,4,2024 Q4,24536,24.536,0.03,revised_next_month,2025-01-01,California,All estimated roads and streets,million vehicle-miles,25jantvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25jantvt/25jantvt.xlsx
2025-01-01,2025,1,2025 Q1,26697,26.697,0.022,revised_next_month,2025-02-01,California,All estimated roads and streets,million vehicle-miles,25febtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25febtvt/25febtvt.xlsx
2025-02-01,2025,1,2025 Q1,24403,24.403,0.022,revised_next_month,2025-03-01,California,All estimated roads and streets,million vehicle-miles,25martvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25martvt/25martvt.xlsx
2025-03-01,2025,1,2025 Q1,26898,26.898,0.012,revised_next_month,2025-04-01,California,All estimated roads and streets,million vehicle-miles,25aprtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25aprtvt/25aprtvt.xlsx
2025-04-01,2025,2,2025 Q2,27950,27.95,0.016,revised_next_month,2025-05-01,California,All estimated roads and streets,million vehicle-miles,25maytvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25maytvt/25maytvt.xlsx
2025-05-01,2025,2,2025 Q2,28823,28.823,0.008,revised_next_month,2025-06-01,California,All estimated roads and streets,million vehicle-miles,25juntvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25juntvt/25juntvt.xlsx
2025-06-01,2025,2,2025 Q2,28723,28.723,0.009,revised_next_month,2025-07-01,California,All estimated roads and streets,million vehicle-miles,25jultvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25jultvt/25jultvt.xlsx
2025-07-01,2025,3,2025 Q3,30504,30.504,0.013,revised_next_month,2025-08-01,California,All estimated roads and streets,million vehicle-miles,25augtvt.xlsx,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25augtvt/25augtvt.xlsx
