"SurveyID","orderShown","Brand","MPG","Price","Rating"
1,1,"Tesla","110 MPGe","$120,000",5
1,2,"Ford","35 MPG","$30,000",5
1,3,"Ford","110 MPGe","$120,000",1
1,4,"Toyota","20 MPG","$60,000",1
1,5,"Ford","20 MPG","$60,000",
1,6,"Toyota","35 MPG","$30,000",1
1,7,"Tesla","110 MPGe","$30,000",1
2,1,"Tesla","110 MPGe","$30,000",5
2,2,"Ford","20 MPG","$30,000",3
2,3,"Toyota","20 MPG","$120,000",5
2,4,"Ford","35 MPG","$60,000",2
2,5,"Toyota","35 MPG","$60,000",1
2,6,"Toyota","35 MPG","$120,000",5
2,7,"Tesla","110 MPGe","$120,000",5
3,1,"Ford","20 MPG","$120,000",5
3,2,"Toyota","35 MPG","$60,000",3
3,3,"Toyota","35 MPG","$30,000",2
3,4,"Tesla","110 MPGe","$60,000",4
3,5,"Ford","20 MPG","$60,000",4
3,6,"Tesla","110 MPGe","$120,000",3
3,7,"Toyota","20 MPG","$30,000",2
4,1,"Tesla","110 MPGe","$60,000",2
4,2,"Toyota","20 MPG","$120,000",5
4,3,"Tesla","110 MPGe","$30,000",1
4,4,"Tesla","110 MPGe","$120,000",4
4,5,"Toyota","35 MPG","$60,000",5
4,6,"Ford","20 MPG","$120,000",5
4,7,"Ford","35 MPG","$30,000",2
5,1,"Tesla","110 MPGe","$120,000",5
5,2,"Ford","20 MPG","$30,000",5
5,3,"Toyota","35 MPG","$30,000",1
5,4,"Toyota","20 MPG","$30,000",1
5,5,"Ford","20 MPG","$60,000",5
5,6,"Ford","35 MPG","$120,000",5
5,7,"Tesla","110 MPGe","$60,000",5
6,1,"Ford","35 MPG","$30,000",1
6,2,"Ford","35 MPG","$120,000",5
6,3,"Tesla","110 MPGe","$30,000",5
6,4,"Tesla","110 MPGe","$60,000",4
6,5,"Toyota","20 MPG","$120,000",5
6,6,"Toyota","20 MPG","$60,000",3
6,7,"Toyota","35 MPG","$60,000",1
7,1,"Tesla","110 MPGe","$120,000",
7,2,"Ford","35 MPG","$60,000",
7,3,"Toyota","20 MPG","$30,000",
7,4,"Tesla","110 MPGe","$60,000",
7,5,"Tesla","110 MPGe","$30,000",
7,6,"Ford","20 MPG","$60,000",
7,7,"Toyota","35 MPG","$120,000",
8,1,"Ford","20 MPG","$30,000",3
8,2,"Toyota","20 MPG","$120,000",5
8,3,"Tesla","110 MPGe","$60,000",2
8,4,"Tesla","110 MPGe","$30,000",1
8,5,"Ford","35 MPG","$60,000",3
8,6,"Ford","20 MPG","$120,000",5
8,7,"Toyota","35 MPG","$120,000",4
9,1,"Ford","35 MPG","$60,000",4
9,2,"Toyota","35 MPG","$120,000",1
9,3,"Ford","35 MPG","$30,000",4
9,4,"Tesla","110 MPGe","$120,000",5
9,5,"Tesla","110 MPGe","$30,000",5
9,6,"Toyota","20 MPG","$30,000",2
9,7,"Toyota","20 MPG","$60,000",3
10,1,"Tesla","110 MPGe","$60,000",1
10,2,"Toyota","20 MPG","$30,000",2
10,3,"Toyota","35 MPG","$30,000",3
10,4,"Tesla","110 MPGe","$120,000",5
10,5,"Tesla","110 MPGe","$30,000",3
10,6,"Ford","35 MPG","$120,000",4
10,7,"Ford","20 MPG","$60,000",3
11,1,"Ford","20 MPG","$120,000",5
11,2,"Ford","20 MPG","$30,000",3
11,3,"Tesla","110 MPGe","$60,000",1
11,4,"Tesla","110 MPGe","$120,000",2
11,5,"Toyota","20 MPG","$60,000",4
11,6,"Ford","35 MPG","$120,000",
11,7,"Toyota","35 MPG","$30,000",
12,1,"Tesla","110 MPGe","$30,000",2
12,2,"Toyota","35 MPG","$60,000",1
12,3,"Toyota","20 MPG","$120,000",5
12,4,"Ford","35 MPG","$60,000",3
12,5,"Ford","35 MPG","$30,000",2
12,6,"Tesla","110 MPGe","$60,000",4
12,7,"Ford","20 MPG","$120,000",5
13,1,"Toyota","35 MPG","$120,000",1
13,2,"Tesla","110 MPGe","$30,000",5
13,3,"Ford","20 MPG","$30,000",2
13,4,"Toyota","20 MPG","$30,000",3
13,5,"Tesla","110 MPGe","$60,000",5
13,6,"Ford","35 MPG","$60,000",2
13,7,"Tesla","110 MPGe","$120,000",5
14,1,"Toyota","35 MPG","$120,000",3
14,2,"Ford","35 MPG","$120,000",3
14,3,"Toyota","20 MPG","$60,000",5
14,4,"Tesla","110 MPGe","$60,000",2
14,5,"Tesla","110 MPGe","$30,000",4
14,6,"Ford","20 MPG","$120,000",1
14,7,"Toyota","35 MPG","$30,000",5
15,1,"Ford","20 MPG","$60,000",4
15,2,"Toyota","20 MPG","$60,000",3
15,3,"Ford","35 MPG","$30,000",1
15,4,"Toyota","35 MPG","$60,000",2
15,5,"Tesla","110 MPGe","$30,000",5
15,6,"Tesla","110 MPGe","$120,000",5
15,7,"Toyota","20 MPG","$120,000",4
16,1,"Tesla","110 MPGe","$60,000",3
16,2,"Tesla","110 MPGe","$30,000",1
16,3,"Ford","20 MPG","$30,000",2
16,4,"Ford","35 MPG","$60,000",4
16,5,"Toyota","20 MPG","$30,000",1
16,6,"Tesla","110 MPGe","$120,000",4
16,7,"Toyota","35 MPG","$120,000",3
17,1,"Toyota","20 MPG","$60,000",
17,2,"Ford","20 MPG","$30,000",
17,3,"Toyota","35 MPG","$30,000",
17,4,"Tesla","110 MPGe","$120,000",
17,5,"Ford","35 MPG","$120,000",
17,6,"Ford","20 MPG","$60,000",
17,7,"Tesla","110 MPGe","$60,000",
18,1,"Tesla","110 MPGe","$30,000",3
18,2,"Tesla","110 MPGe","$60,000",3
18,3,"Ford","35 MPG","$120,000",5
18,4,"Toyota","20 MPG","$120,000",3
18,5,"Toyota","35 MPG","$30,000",1
18,6,"Ford","20 MPG","$120,000",2
18,7,"Toyota","35 MPG","$60,000",2
19,1,"Toyota","20 MPG","$30,000",4
19,2,"Tesla","110 MPGe","$30,000",2
19,3,"Toyota","110 MPGe","$60,000",3
19,4,"Ford","35 MPG","$60,000",4
19,5,"Tesla","110 MPGe","$120,000",5
19,6,"Ford","20 MPG","$120,000",4
19,7,"Ford","35 MPG","$30,000",2
20,1,"Toyota","20 MPG","$60,000",1
20,2,"Tesla","110 MPGe","$120,000",4
20,3,"Tesla","110 MPGe","$30,000",4
20,4,"Ford","35 MPG","$60,000",5
20,5,"Toyota","35 MPG","$120,000",1
20,6,"Ford","20 MPG","$30,000",4
20,7,"Tesla","110 MPGe","$60,000",3
