month,wa_sales_tax_exemption_active,wa_instant_rebate_active,federal_point_of_sale_credit_period,combined_incentive_transition,post_combined_incentive_rolloff,timing_note,wa_sales_tax_source_url,wa_instant_rebate_source_url
2017-01-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-02-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-03-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-04-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-05-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-06-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-07-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-08-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-09-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-10-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
