month,bev_titles,other_powertrain_titles,phev_titles,fcev_titles,total_new_ldv_titles,zev_titles,zev_share,source_url
2017-01-01,395,26484,231,0,27110,626,0.023091110291405384,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-02-01,369,20070,180,0,20619,549,0.026625927542557836,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-03-01,349,26948,200,0,27497,549,0.019965814452485724,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-04-01,432,23719,172,0,24323,604,0.02483246310076882,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-05-01,393,27032,185,0,27610,578,0.020934444042013764,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-06-01,431,27920,238,0,28589,669,0.023400608625695197,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-07-01,385,22197,163,0,22745,548,0.02409320729830732,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-08-01,338,25370,193,0,25901,531,0.02050113895216401,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-09-01,451,23872,176,0,24499,627,0.025592881342095596,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-10-01,451,23424,204,0,24079,655,0.02720212633415009,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-11-01,271,21814,201,0,22286,472,0.021179215651081395,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2017-12-01,334,23047,224,0,23605,558,0.023639059521287864,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2018-01-01,523,26669,341,0,27533,864,0.03138052518795627,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2018-02-01,235,20127,243,0,20605,478,0.0231982528512497,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2018-03-01,470,25500,274,0,26244,744,0.0283493369913123,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
2018-04-01,575,24051,277,0,24903,852,0.034212745452355135,https://data.wa.gov/Transportation/Vehicle-Title-Transactions-by-Department-of-Licens/cdk6-5kdf
