month,vmt_million_miles,yoy_change,estimate_status,release_month,geography,road_coverage,source_url
2023-01-01,4212,0.07400000000000001,revised_next_month,2023-02-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23febtvt/23febtvt.xlsx
2023-02-01,3772,-0.016,revised_next_month,2023-03-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23martvt/23martvt.xlsx
2023-03-01,4750,-0.004,revised_next_month,2023-04-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23aprtvt/23aprtvt.xlsx
2023-04-01,4698,0.003,revised_next_month,2023-05-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23maytvt/23maytvt.xlsx
2023-05-01,5387,0.054000000000000006,revised_next_month,2023-06-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23juntvt/23juntvt.xlsx
2023-06-01,5537,0.044000000000000004,revised_next_month,2023-07-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23jultvt/23jultvt.xlsx
2023-07-01,5945,0.025,revised_next_month,2023-08-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23augtvt/23augtvt.xlsx
2023-08-01,5885,0.008,revised_next_month,2023-09-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23septvt/23septvt.xlsx
2023-09-01,5216,0.005,revised_next_month,2023-10-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23octtvt/23octtvt.xlsx
2023-10-01,5015,0.012,revised_next_month,2023-11-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23novtvt/23novtvt.xlsx
2023-11-01,4589,0.055999999999999994,revised_next_month,2023-12-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/23dectvt/23dectvt.xlsx
2023-12-01,4438,0.08800000000000001,revised_next_month,2024-01-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24jantvt/24jantvt.xlsx
